Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
735000,2.7975067,1.2338171,1.6016217,1.9215657,2.1149059,2.0184425,2.6839213,1.3557051,2.0098974,1.5497735,1.0140129,0.5142671,1.5134142,2.0276813
740000,2.455836,1.1395297,1.3771215,1.9067271,2.2949101,2.1060189,2.6243167,1.419515,2.0654927,1.5033539,1.1126922,0.42653183,1.6606931,2.0872249
745000,2.3438801,1.3691129,1.329157,1.8521685,2.1003229,1.8629177,2.7499757,1.2412407,1.9944708,1.3978841,1.0524609,0.49125011,1.5707979,2.062048
750000,2.4609747,1.4193392,1.2927581,1.7854229,2.1615444,1.62606,2.7344189,1.4900554,1.9461445,1.5322088,1.0423247,0.49186515,1.5556696,2.0475347
755000,2.6929484,1.3993514,1.4699259,1.7581967,1.8631657,1.5713139,2.7554062,1.6679767,1.8476333,1.5913424,0.93528028,0.58365095,1.3959058,1.9795568
760000,2.8287429,1.5535953,1.4721714,1.7667459,1.7218754,1.3496919,2.7122788,1.4889116,2.002458,1.4678677,0.9617969,0.43806583,1.4354819,1.8735477
765000,2.8379571,1.3701596,1.5912799,1.7183259,1.6316582,1.3575772,2.7707533,1.3360054,2.0535579,1.6175108,0.88487565,0.55037137,1.3206769,1.8710483
770000,2.9224604,1.4469249,1.1981903,1.5118225,1.5783517,1.3691689,2.8248439,1.4178452,2.1904951,1.6840636,1.0133907,0.37391102,1.5124856,1.8863966
775000,2.8722884,1.3986366,1.3076548,1.5885514,1.6498839,1.4094078,2.851285,1.6390672,1.9589261,1.6018385,0.95321342,0.51968014,1.422671,1.9423512
785000,2.5634745,1.6906936,1.3088917,1.5657695,1.8960295,1.608681,2.8446868,1.4337908,1.8040636,1.8634457,1.0166086,0.50699566,1.5172883,2.024284
790000,2.5456374,1.5881234,1.2092266,1.5971254,1.7922151,1.5024799,2.8488723,1.4371132,1.6963643,1.808408,0.95008325,0.49407388,1.4179993,1.9120731
795000,2.4811555,1.6320156,1.2114226,1.6794743,1.6296634,1.5506384,2.7351348,1.4879471,1.7961554,1.7338771,0.99450594,0.50152148,1.4843001,1.9858216
805000,2.616133,1.6401764,1.2149347,1.5578064,1.6301818,1.3610526,2.502145,1.4411816,1.8555142,1.6435602,0.9770601,0.44723623,1.4582622,1.9054984
810000,2.5387135,1.6395187,1.2267717,1.5391779,1.7310024,1.4484634,2.3475602,1.5562302,1.8481891,1.5268649,1.0045776,0.48199614,1.4993321,1.9813283
815000,2.467759,1.6478005,1.1835862,1.5991633,1.5102235,1.4997496,2.0648333,1.5435215,1.8492488,1.6066063,0.95655516,0.39687459,1.4276586,1.8245332
820000,2.4905754,1.496469,1.2890756,1.324036,1.5751643,1.4888081,1.8547787,1.7885062,1.6497231,1.632389,0.9992743,0.47712904,1.4914169,1.9685459
825000,2.6124172,1.5382195,1.3038163,1.3317221,1.8148238,1.6251058,1.9112427,1.6754286,1.401357,1.7975091,1.0134425,0.51798649,1.5125629,2.0305494
835000,2.5717285,1.5731371,1.4309283,1.0892844,1.5332541,1.5017952,2.0365733,1.9933533,1.3876049,1.9372838,1.072805,0.4672474,1.6011614,2.0684088
840000,2.6689457,1.6699891,1.3205165,1.1225846,1.5153781,1.3332421,2.1744682,1.831348,1.2555217,1.9033607,0.94314392,0.55121975,1.4076423,1.958862
845000,2.7231911,1.6473596,1.4619409,1.1232809,1.6047184,1.3287607,2.2603277,1.9789062,1.3923188,1.7977204,0.90588902,0.46971489,1.3520394,1.8217543
855000,2.8502969,1.7096819,1.523024,1.1230833,1.6288912,1.1433292,2.2378332,2.0567454,1.3113594,2.20034,0.97737428,0.56161051,1.4587311,2.0203416
860000,2.6696945,1.6924704,1.4968473,1.2130973,1.7134719,1.1971376,2.294471,2.0613314,1.4797946,2.1920325,0.89799099,0.52493785,1.3402516,1.8651894
870000,2.6296757,1.7448092,1.5048927,1.2839162,2.0178339,1.1886694,2.6373219,2.0392174,1.7953419,2.1188244,0.99811991,0.48119277,1.489694,1.9708867
875000,2.2573694,1.7515399,1.3149473,1.1882654,2.0631721,1.344077,2.8865925,2.1832035,1.9154011,2.3223551,1.0058419,0.44504416,1.501219,1.9462632
880000,2.4762687,1.806585,1.2761546,1.2271898,2.101257,1.4236722,3.0619014,2.524396,1.6883994,2.5631853,1.0453037,0.42069099,1.5601158,1.9808068
885000,2.4392208,1.9017869,1.0897701,1.2181142,2.3133584,1.3811859,2.8823148,2.4761809,1.7268852,2.5712344,1.0224493,0.47966889,1.5260055,2.0056744
890000,2.4984326,1.9909254,1.2862665,1.2797393,2.3446364,1.2508151,2.7887105,2.4561178,1.646433,2.511975,1.0127844,0.45708566,1.5115807,1.9686664
895000,2.5853136,2.0364389,1.2646891,1.3481914,2.2011996,1.5760722,2.6729908,2.5075705,1.7795015,2.4403121,1.0203703,0.4105838,1.5229027,1.9334865
900000,2.4531823,1.9427179,1.1881112,1.459611,2.2674684,1.6403265,2.6747007,2.6394509,1.8729978,2.3254321,0.99543558,0.58799603,1.4856876,2.0736836
905000,2.2287996,1.7036936,1.2094649,1.3454769,2.4650731,1.8934869,2.7481607,2.386535,1.9687348,2.2531181,1.0008457,0.59428216,1.4937623,2.0880444
910000,2.0701627,1.5373736,1.105532,1.4301512,2.3115276,1.7763118,2.7358207,2.438802,1.9651676,2.2945976,1.0230209,0.40258136,1.5268588,1.9294401
915000,1.9692021,1.62733,1.1988072,1.5162687,2.4087334,1.8273453,2.4637488,2.1739461,2.0899865,2.2321655,0.92755201,0.53405122,1.3843714,1.9184226
920000,2.1240069,1.5520843,1.3430795,1.6149495,2.4773352,1.6534916,2.1606773,2.1811287,2.1972425,2.5598904,0.95933683,0.44644283,1.4318102,1.878253
930000,2.12567,1.6678063,1.3525296,1.8790222,2.4394825,1.5467861,2.5287807,2.0518264,2.0238791,2.5958122,0.91272215,0.5441279,1.3622378,1.9063657
935000,2.2586191,1.5795056,1.1334441,1.9818278,2.2526781,1.7210436,2.3706098,2.2166451,2.0473042,2.6194252,0.96894009,0.43126522,1.4461431,1.8774083
940000,2.1822626,1.6090614,1.0651235,1.9846266,2.2515262,1.790876,2.2865482,2.399372,1.9593303,2.5697641,1.0001147,0.45234912,1.4926712,1.9450204
