Step,c_myRG2compute_poly1,c_myRG2compute_poly2,c_myRG2compute_poly3,c_myRG2compute_poly4,c_myRG2compute_poly5,c_myRG2compute_poly6,c_myRG2compute_poly7,c_myRG2compute_poly8,c_myRG2compute_poly9,c_myRG2compute_poly10,Temp,PotEng,KinEng,TotEng
735000,2.5672737,1.2300587,1.6036698,2.2449192,2.0928391,1.9827422,2.8702519,1.2579392,1.8692734,1.4734054,1.0103425,0.51902022,1.5079361,2.0269564
740000,2.2475681,1.0733237,1.4005343,2.2056113,2.2560282,2.0615485,2.7870401,1.2865498,1.9393113,1.4365485,1.1030788,0.44345165,1.6463451,2.0897968
750000,2.2495162,1.3319478,1.3478698,2.0347806,2.1199394,1.6150772,2.908565,1.4677013,1.7819413,1.5051217,1.0476317,0.46665332,1.5635903,2.0302436
755000,2.4976627,1.3118256,1.5243928,1.9996355,1.8286208,1.553168,2.9442986,1.6310672,1.6870223,1.5831158,0.93030069,0.59684046,1.3884738,1.9853142
765000,2.6398932,1.2537795,1.643187,1.933288,1.5890815,1.3763527,2.8937795,1.3468418,1.9220354,1.5138353,0.9006359,0.5387328,1.3441991,1.8829319
775000,2.7216628,1.2753134,1.3430494,1.7858851,1.6213314,1.4115003,2.9507611,1.5919907,1.8102421,1.4879452,0.95667348,0.50750873,1.4278352,1.9353439
780000,2.6070271,1.2677773,1.2325845,1.7711027,1.7424723,1.5721104,2.712816,1.4262231,1.7748455,1.6129132,1.0275172,0.38059646,1.5335695,1.9141659
785000,2.4494835,1.4896142,1.3165109,1.7488395,1.8553223,1.6476784,2.9101769,1.2998251,1.7044329,1.7562797,1.029773,0.47880566,1.5369362,2.0157418
795000,2.3391993,1.4638292,1.189947,1.8629506,1.5822111,1.568663,2.8040655,1.3692105,1.7093639,1.6504766,1.0077133,0.46843078,1.5040121,1.9724429
805000,2.4853573,1.4595461,1.2027191,1.7182565,1.6249058,1.3360296,2.5878212,1.3970857,1.7201324,1.5493282,0.98045683,0.44684777,1.4633318,1.9101796
815000,2.3283061,1.5100319,1.2682209,1.7764199,1.4774912,1.4681701,2.1910948,1.5209673,1.6931145,1.482338,0.9591427,0.40784871,1.4315205,1.8393692
820000,2.3501806,1.3753919,1.3442898,1.4754255,1.557182,1.4800285,1.9649205,1.701822,1.4774713,1.496493,1.0122163,0.47790523,1.5107328,1.9886381
825000,2.5009433,1.394364,1.3683211,1.4554336,1.8080767,1.629657,2.0442249,1.5919808,1.2666033,1.6460311,1.0022496,0.51151302,1.4958576,2.0073706
835000,2.4406542,1.3561241,1.4712589,1.185558,1.5350437,1.546183,2.1711635,1.9670362,1.2807884,1.8110826,1.0629057,0.49723406,1.5863867,2.0836208
845000,2.5550538,1.4295667,1.5205445,1.208068,1.6426035,1.369848,2.4056153,1.9369717,1.3177544,1.684256,0.89911282,0.48975652,1.3419259,1.8316824
850000,2.5533158,1.5126119,1.4672482,1.109958,1.5868018,1.2623852,2.3728121,1.9428365,1.1521667,1.8895992,1.0645174,0.59526372,1.5887922,2.1840559
855000,2.683193,1.4807855,1.5624364,1.1620953,1.6597018,1.1895987,2.3746602,2.0436311,1.3177329,2.0807219,0.99242358,0.54907858,1.4811922,2.0302708
865000,2.4505715,1.4223563,1.5543047,1.2871525,1.8980788,1.2418489,2.6357311,1.9607485,1.6317055,2.1829034,1.0346614,0.4460349,1.5442322,1.9902671
875000,2.1264486,1.5688463,1.3431224,1.2447926,2.0921328,1.3771477,2.9978406,2.1465941,1.8539088,2.230344,0.99475162,0.4613721,1.4846668,1.9460389
885000,2.3258701,1.7257097,1.1007918,1.1656014,2.3434978,1.399368,2.9683346,2.4614062,1.6516761,2.4940523,1.0295876,0.46754463,1.5366596,2.0042042
895000,2.49208,1.8606403,1.2448473,1.3248624,2.2241858,1.6400943,2.7612622,2.514429,1.7036628,2.3652122,1.0191533,0.40343771,1.5210863,1.924524
905000,2.1515918,1.5775374,1.2111557,1.2628995,2.4870926,1.9623318,2.8247998,2.4351955,1.9017072,2.1865457,1.007952,0.57683466,1.5043684,2.081203
915000,1.9040203,1.5507229,1.2032856,1.3758343,2.4313172,1.9031263,2.5324348,2.2206947,2.0476735,2.1664785,0.92585919,0.53096143,1.3818448,1.9128063
