Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
4751,2.0213128,2.5082113,3.0168094,5.493271,-0.004311901,0.025,805.14059,832.2961,829.7223
4755,1.8990643,2.6335147,2.8343535,5.4678682,-0.0072986848,0.025,805.1862,832.39735,829.75868
4777,1.9681012,2.66589,2.9373911,5.603281,0.0039389292,0.025,805.25736,832.96898,830.47955
4778,1.9984868,2.635862,2.9827415,5.6333832,0.0054686082,0.025,805.25817,832.99132,830.52821
4781,2.0846065,2.5492277,3.1112751,5.6605028,0.0083672159,0.025,805.26123,833.0367,830.62763
4804,2.0994191,2.422953,3.1333831,5.5563361,0.0095928161,0.025,805.5531,833.7177,831.73844
4831,1.8731393,2.7668565,2.7956604,5.5625169,-0.010258622,0.025,806.59178,834.56464,832.76309
4858,2.1355682,2.4286782,3.1873356,5.6160137,0.0016912015,0.025,808.03488,835.30347,833.15704
4885,2.1357606,5.9848141,3.1876227,9.1724368,-0.052556736,0.025,808.67537,836.21963,833.5633
4888,2.5232408,5.224978,4.2032206,9.2029236,-0.01699665,0.025,808.74887,838.01367,834.67591
4912,3.3525613,2.1158416,5.0036977,7.1195393,0.047697097,0.025,808.74887,838.01367,834.67591
4917,2.821501,2.3865593,4.2110903,6.5976496,0.027721669,0.025,808.8063,838.52473,834.86888
4924,2.0347624,3.079215,3.0368829,6.1160978,-0.01140388,0.025,808.90894,839.05633,835.05685
4939,1.411994,3.7918115,2.1074011,5.8992125,-0.038438192,0.025,809.23012,839.6398,835.38093
4966,2.6991367,1.8422693,4.0284616,5.8707309,0.026630715,0.025,810.19546,838.99393,835.8887
