Step,Temp,PotEng,KinEng,TotEng,Press,Density,c_MSD[1],c_MSD[2],c_MSD[3]
2999,1.9996448,0.50759732,2.9844699,3.4920672,0.027904492,0.025,252.37213,261.33961,259.01809
3023,1.99948,0.52769568,2.9842239,3.5119196,0.027473647,0.025,256.42644,265.54925,263.22725
3050,2.0006476,0.52289591,2.9859665,3.5088624,0.027996534,0.025,261.04299,270.33564,267.99984
3077,2.0012053,0.47500906,2.986799,3.461808,0.029317005,0.025,265.69096,275.1491,272.76936
3104,1.9998153,0.45990238,2.9847244,3.4446268,0.029866207,0.025,270.35967,279.98118,277.52785
3107,1.9996663,0.46140048,2.984502,3.4459025,0.029846818,0.025,270.88114,280.52061,278.05814
3131,1.9994649,0.48282944,2.9842013,3.4670308,0.029281809,0.025,275.08036,284.86224,282.32739
3158,1.9999849,0.48737168,2.9849774,3.4723491,0.028412099,0.025,279.85349,289.79624,287.19177
3160,1.9999168,0.48791154,2.984815,3.4727266,0.02830653,0.025,280.38586,290.34681,287.7357
3176,1.9990454,0.50168364,2.9835752,3.4852588,0.027724003,0.025,283.05494,293.84797,291.56737
3185,1.9987907,0.51722237,2.9831952,3.5004175,0.02739303,0.025,284.66439,294.77466,292.11896
3188,1.9987945,0.52263522,2.9832008,3.505836,0.027301953,0.025,285.2025,295.3319,292.67172
3212,1.9997531,0.55063238,2.9846315,3.5352638,0.027189943,0.025,289.53599,299.82027,297.13228
3213,1.9998282,0.55077704,2.9847437,3.5355207,0.027214383,0.025,289.71752,300.00826,297.31938
3239,2.0024378,0.50024379,2.9886384,3.4888822,0.028742326,0.025,294.44774,304.90278,302.19343
3240,2.0024829,0.49266304,2.9887553,3.4814184,0.028904038,0.025,294.81129,305.27858,302.56759
3266,2.0004577,0.42972562,2.9856832,3.4154088,0.030286014,0.025,299.34501,309.96209,307.22424
3293,1.9981924,0.48006366,2.9823022,3.4623659,0.029665419,0.025,304.27577,315.05441,312.27417
3320,2.0005041,0.50582288,2.9857524,3.4915752,0.028656721,0.025,309.28957,320.23522,317.41296
3347,1.9999312,0.48471532,2.9848973,3.4696126,0.027963465,0.025,314.32927,325.45227,322.59388
3350,1.9997421,0.4858766,2.984615,3.4704916,0.027867496,0.025,314.89048,326.03403,323.1715
3374,1.99866,0.51825633,2.9830001,3.5012564,0.027163043,0.025,319.40623,330.72003,327.81964
3401,2.0002255,0.55871888,2.9853366,3.5440555,0.027321298,0.025,324.563,336.07766,333.12453
3404,2.000786,0.55520574,2.9861732,3.5413789,0.027489222,0.025,325.13996,336.67742,333.71798
3428,2.002344,0.47499336,2.9884985,3.4634918,0.029446178,0.025,329.74562,341.46886,338.45646
3430,2.0022148,0.4684736,2.9883055,3.4567791,0.029598179,0.025,330.12786,341.86687,338.84984
3455,1.9993632,0.44391418,2.9840496,3.4279637,0.030501774,0.025,334.90427,346.84171,343.76553
3482,1.9994629,0.48131714,2.9841983,3.4655155,0.029807092,0.025,340.12473,352.26953,349.13396
3485,1.9996564,0.48285488,2.9844872,3.467342,0.029695689,0.025,340.71007,352.87688,349.73557
3509,1.9999975,0.48015649,2.9849963,3.4651528,0.028663335,0.025,345.41668,357.75123,354.57231
3536,1.9990141,0.50200759,2.9835285,3.4855361,0.027217732,0.025,350.75937,363.26972,360.06157
3539,1.9988988,0.50694158,2.9833565,3.4902981,0.027070152,0.025,351.35706,363.88647,360.67538
3563,1.9990858,0.55029355,2.9836355,3.5339291,0.026417465,0.025,356.17463,368.85607,365.61961
3590,2.0015113,0.52997677,2.9872555,3.5172323,0.027696039,0.025,361.64737,374.50333,371.23061
